in s,C2 in V
-1.182592E-04,2.08133E+01
-1.182584E-04,2.08133E+01
-1.182576E-04,2.06180E+01
-1.182568E-04,2.10086E+01
-1.182560E-04,2.12039E+01
-1.182552E-04,2.12039E+01
-1.182544E-04,2.12039E+01
-1.182536E-04,2.17898E+01
-1.182528E-04,2.06180E+01
-1.182520E-04,2.12039E+01
-1.182512E-04,2.13992E+01
-1.182504E-04,2.19852E+01
-1.182496E-04,2.06180E+01
-1.182488E-04,2.12039E+01
-1.182480E-04,2.02273E+01
-1.182472E-04,2.06180E+01
-1.182464E-04,2.08133E+01
-1.182456E-04,2.10086E+01
-1.182448E-04,2.08133E+01
-1.182440E-04,2.08133E+01
-1.182432E-04,2.04227E+01
-1.182424E-04,2.02273E+01
-1.182416E-04,2.00320E+01
-1.182408E-04,1.98367E+01
-1.182400E-04,2.04227E+01
-1.182392E-04,2.04227E+01
-1.182384E-04,2.06180E+01
-1.182376E-04,2.06180E+01
-1.182368E-04,2.06180E+01
-1.182360E-04,2.08133E+01
-1.182352E-04,2.00320E+01
-1.182344E-04,2.08133E+01
-1.182336E-04,2.00320E+01
-1.182328E-04,2.00320E+01
-1.182320E-04,2.02273E+01
-1.182312E-04,2.06180E+01
-1.182304E-04,1.98367E+01
-1.182296E-04,2.04227E+01
-1.182288E-04,2.00320E+01
-1.182280E-04,2.06180E+01
-1.182272E-04,2.04227E+01
-1.182264E-04,2.12039E+01
-1.182256E-04,2.04227E+01
-1.182248E-04,2.00320E+01
-1.182240E-04,2.00320E+01
-1.182232E-04,1.94461E+01
-1.182224E-04,1.92508E+01
-1.182216E-04,1.98367E+01
-1.182208E-04,1.92508E+01
-1.182200E-04,1.92508E+01
-1.182192E-04,1.96414E+01
-1.182184E-04,1.98367E+01
-1.182176E-04,1.96414E+01
-1.182168E-04,2.00320E+01
-1.182160E-04,1.98367E+01
-1.182152E-04,2.00320E+01
-1.182144E-04,2.06180E+01
-1.182136E-04,2.00320E+01
-1.182128E-04,2.04227E+01
-1.182120E-04,1.98367E+01
-1.182112E-04,1.94461E+01
-1.182104E-04,1.92508E+01
-1.182096E-04,1.88602E+01
-1.182088E-04,1.96414E+01
-1.182080E-04,1.98367E+01
-1.182072E-04,1.98367E+01
-1.182064E-04,1.92508E+01
-1.182056E-04,1.98367E+01
-1.182048E-04,1.90555E+01
-1.182040E-04,1.90555E+01
-1.182032E-04,1.92508E+01
-1.182024E-04,1.88602E+01
-1.182016E-04,1.90555E+01
-1.182008E-04,1.90555E+01
-1.182000E-04,1.92508E+01
-1.181992E-04,1.98367E+01
-1.181984E-04,1.92508E+01
-1.181976E-04,2.06180E+01
-1.181968E-04,1.90555E+01
-1.181960E-04,1.98367E+01
-1.181952E-04,1.98367E+01
-1.181944E-04,2.00320E+01
-1.181936E-04,1.94461E+01
-1.181928E-04,1.94461E+01
-1.181920E-04,1.94461E+01
-1.181912E-04,1.94461E+01
-1.181904E-04,1.92508E+01
-1.181896E-04,1.92508E+01
-1.181888E-04,1.86648E+01
-1.181880E-04,1.96414E+01
-1.181872E-04,1.90555E+01
-1.181864E-04,1.90555E+01
-1.181856E-04,1.86648E+01
-1.181848E-04,1.90555E+01
-1.181840E-04,1.86648E+01
-1.181832E-04,1.92508E+01
-1.181824E-04,1.82742E+01
-1.181816E-04,1.94461E+01
-1.181808E-04,1.92508E+01
-1.181800E-04,1.94461E+01
-1.181792E-04,1.92508E+01
-1.181784E-04,1.92508E+01
-1.181776E-04,1.86648E+01
-1.181768E-04,1.86648E+01
-1.181760E-04,1.90555E+01
-1.181752E-04,1.90555E+01
-1.181744E-04,1.90555E+01
-1.181736E-04,1.94461E+01
-1.181728E-04,1.86648E+01
-1.181720E-04,1.92508E+01
-1.181712E-04,1.88602E+01
-1.181704E-04,1.94461E+01
-1.181696E-04,1.90555E+01
-1.181688E-04,1.96414E+01
-1.181680E-04,1.92508E+01
-1.181672E-04,1.94461E+01
-1.181664E-04,1.86648E+01
-1.181656E-04,1.88602E+01
-1.181648E-04,1.82742E+01
-1.181640E-04,1.80789E+01
-1.181632E-04,1.74930E+01
-1.181624E-04,1.82742E+01
-1.181616E-04,1.84695E+01
-1.181608E-04,1.92508E+01
-1.181600E-04,1.84695E+01
-1.181592E-04,1.84695E+01
-1.181584E-04,1.78836E+01
-1.181576E-04,1.84695E+01
-1.181568E-04,1.84695E+01
-1.181560E-04,1.74930E+01
-1.181552E-04,1.78836E+01
-1.181544E-04,1.78836E+01
-1.181536E-04,1.78836E+01
-1.181528E-04,1.88602E+01
