in s,C1 in V
-3.0300400E-03,1.37756E+01
-3.0299936E-03,1.30920E+01
-3.0299472E-03,1.08459E+01
-3.0299008E-03,8.35566E+00
-3.0298544E-03,5.96309E+00
-3.0298080E-03,2.98457E+00
-3.0297616E-03,-1.40430E-01
-3.0297152E-03,-3.07012E+00
-3.0296688E-03,-5.95098E+00
-3.0296224E-03,-8.14824E+00
-3.0295760E-03,-1.00037E+01
-3.0295296E-03,-1.09314E+01
-3.0294832E-03,-1.06385E+01
-3.0294368E-03,-8.58770E+00
-3.0293904E-03,-6.29277E+00
-3.0293440E-03,-5.31621E+00
-3.0292976E-03,-6.48809E+00
-3.0292512E-03,-8.44121E+00
-3.0292048E-03,-9.02715E+00
-3.0291584E-03,-7.80645E+00
-3.0291120E-03,-6.58574E+00
-3.0290656E-03,-6.39043E+00
-3.0290192E-03,-6.87871E+00
-3.0289728E-03,-6.87871E+00
-3.0289264E-03,-6.63457E+00
-3.0288800E-03,-6.43926E+00
-3.0288336E-03,-6.82988E+00
-3.0287872E-03,-6.92754E+00
-3.0287408E-03,-6.73223E+00
-3.0286944E-03,-6.14629E+00
-3.0286480E-03,-5.65801E+00
-3.0286016E-03,-5.85332E+00
-3.0285552E-03,-6.09746E+00
-3.0285088E-03,-5.99980E+00
-3.0284624E-03,-5.70684E+00
-3.0284160E-03,-5.26738E+00
-3.0283696E-03,-3.60723E+00
-3.0283232E-03,-4.33398E-01
-3.0282768E-03,4.20527E+00
-3.0282304E-03,8.64863E+00
-3.0281840E-03,1.22131E+01
-3.0281376E-03,1.37756E+01
-3.0280912E-03,1.37756E+01
-3.0280448E-03,1.37756E+01
-3.0279984E-03,1.37756E+01
-3.0279520E-03,1.37756E+01
-3.0279056E-03,1.37756E+01
-3.0278592E-03,1.37756E+01
-3.0278128E-03,1.37756E+01
-3.0277664E-03,1.37756E+01
-3.0277200E-03,1.20178E+01
-3.0276736E-03,9.57637E+00
-3.0276272E-03,7.18379E+00
-3.0275808E-03,4.44941E+00
-3.0275344E-03,1.27559E+00
-3.0274880E-03,-1.70293E+00
-3.0274416E-03,-4.58379E+00
-3.0273952E-03,-7.17168E+00
-3.0273488E-03,-9.17363E+00
-3.0273024E-03,-1.06385E+01
-3.0272560E-03,-1.10291E+01
-3.0272096E-03,-9.80840E+00
-3.0271632E-03,-7.26934E+00
-3.0271168E-03,-5.46270E+00
-3.0270704E-03,-5.70684E+00
-3.0270240E-03,-7.61113E+00
-3.0269776E-03,-9.07598E+00
-3.0269312E-03,-8.68535E+00
-3.0268848E-03,-7.12285E+00
-3.0268384E-03,-6.48809E+00
-3.0267920E-03,-6.68340E+00
-3.0267456E-03,-6.92754E+00
-3.0266992E-03,-6.73223E+00
-3.0266528E-03,-6.48809E+00
-3.0266064E-03,-6.73223E+00
-3.0265600E-03,-6.92754E+00
-3.0265136E-03,-6.92754E+00
-3.0264672E-03,-6.24395E+00
-3.0264208E-03,-5.80449E+00
-3.0263744E-03,-5.85332E+00
-3.0263280E-03,-6.04863E+00
-3.0262816E-03,-6.24395E+00
-3.0262352E-03,-5.65801E+00
-3.0261888E-03,-5.70684E+00
-3.0261424E-03,-4.77910E+00
-3.0260960E-03,-2.38652E+00
-3.0260496E-03,1.76387E+00
-3.0260032E-03,7.03730E+00
-3.0259568E-03,1.09924E+01
-3.0259104E-03,1.32873E+01
-3.0258640E-03,1.37756E+01
-3.0258176E-03,1.37756E+01
-3.0257712E-03,1.37756E+01
-3.0257248E-03,1.37756E+01
-3.0256784E-03,1.37756E+01
-3.0256320E-03,1.37756E+01
-3.0255856E-03,1.37756E+01
-3.0255392E-03,1.37756E+01
-3.0254928E-03,1.29455E+01
-3.0254464E-03,1.08947E+01
-3.0254000E-03,8.45332E+00
-3.0253536E-03,5.76777E+00
-3.0253072E-03,2.78926E+00
-3.0252608E-03,-3.84570E-01
-3.0252144E-03,-3.36309E+00
-3.0251680E-03,-6.09746E+00
-3.0251216E-03,-8.34355E+00
-3.0250752E-03,-9.80840E+00
-3.0250288E-03,-1.11268E+01
-3.0249824E-03,-1.04432E+01
-3.0249360E-03,-8.53887E+00
-3.0248896E-03,-6.14629E+00
-3.0248432E-03,-5.46270E+00
-3.0247968E-03,-6.68340E+00
-3.0247504E-03,-8.63652E+00
-3.0247040E-03,-8.97832E+00
-3.0246576E-03,-7.70879E+00
-3.0246112E-03,-6.73223E+00
-3.0245648E-03,-6.43926E+00
-3.0245184E-03,-6.82988E+00
-3.0244720E-03,-6.87871E+00
-3.0244256E-03,-6.82988E+00
-3.0243792E-03,-6.63457E+00
-3.0243328E-03,-6.78105E+00
-3.0242864E-03,-7.02520E+00
-3.0242400E-03,-6.73223E+00
-3.0241936E-03,-6.09746E+00
-3.0241472E-03,-5.80449E+00
-3.0241008E-03,-5.95098E+00
-3.0240544E-03,-6.19512E+00
-3.0240080E-03,-6.04863E+00
-3.0239616E-03,-5.65801E+00
-3.0239152E-03,-5.31621E+00
-3.0238688E-03,-3.85137E+00
-3.0238224E-03,-4.33398E-01
-3.0237760E-03,4.30293E+00
-3.0237296E-03,8.89277E+00
-3.0236832E-03,1.23596E+01
-3.0236368E-03,1.37756E+01
-3.0235904E-03,1.37756E+01
-3.0235440E-03,1.37756E+01
-3.0234976E-03,1.37756E+01
-3.0234512E-03,1.37756E+01
-3.0234048E-03,1.37756E+01
-3.0233584E-03,1.37756E+01
-3.0233120E-03,1.37756E+01
